word	mean_RT	word_length	word_lower	frequency	neg_log_prob	pred1	pred2	word_type
away	309.32608695652175	4	away	56906743	4.402987	338.3577129667167	338.92937657170745	content
be	326.5051490514905	2	be	964072174	5.6015251500000005	341.49526608226427	343.0261525327083	function
bed	321.577868852459	3	bed	17264116	0.00093624304	340.56833125459343	338.6404601508504	content
bird	333.5327399872854	4	bird	4823924	0.86399317	338.4254891407595	337.27547197588916	content
called	337.66568914956014	6	called	69300306	0.004221427	334.0235235780833	333.3370142670131	content
clear	341.7534626038781	5	clear	35415613	0.0052483277	336.22664897781755	335.10582123409114	content
come	318.9005988023952	4	come	69378970	3.7740211	338.3414826657444	338.63543720854585	content
drops	327.67808219178085	5	drops	2565401	3.3908327500000004	336.26939746433584	336.6880318579432	content
extra	312.2926829268293	5	extra	7759192	0.019413084	336.2626387041628	335.1124409561558	content
flying	325.70359281437123	6	flying	4200420	0.024264254	334.1082390617767	333.3463810320545	content
four	352.3695652173913	4	four	49087752	1.9979209	338.3678879400578	337.8053989478084	content
hand	297.7303370786517	4	hand	63081980	0.086187564	338.34967703575705	336.9119742338158	content
is	332.0757058641018	2	is	1780724214	0.001365056	340.43254421240067	340.40898760908794	function
its	325.5936739659367	3	its	259806050	3.5477948e-05	340.2527077025837	338.6400391895272	content
just	308.6138996138996	4	just	113263289	5.2745786	338.284375325946	339.3367040275218	content
king	370.8857142857143	4	king	13253011	2.0203092586666664	338.4145202401028	337.8158618677993	content
less	331.12587412587413	4	less	66492927	0.023964364	338.34523831792336	336.8828949979114	content
lights	359.68888888888887	6	lights	4876964	0.0052859564	334.1073586646559	333.3375117615417	content
like	317.5154304277206	4	like	167991828	0.499537408	338.21315623574327	337.1051481243372	content
man	306.9250749250749	3	man	97465290	0.028633031045833337	340.463964232381	338.6534038990378	content
mother	344.7168674698795	6	mother	39696579	0.101147965	334.06204736369995	333.382311674795	content
nothing	301.7133333333333	7	nothing	38429085	1.3286451	331.9046660459843	332.1876400824366	content
old	388.8536121673003	3	old	66132164	0.00041482816	340.5047385115359	338.6402164741141	content
ones	334.39080459770116	4	ones	16074289	0.0034413727	338.4108488676152	336.87330383407743	content
or	359.60859116851907	2	or	793525686	2.3535087519233335	341.7172008522136	341.508232607973	function
owed	293.1506849315069	4	owed	1830581	1.22565415	338.42938442408007	337.44448972095546	content
per	355.2105263157895	3	per	49354567	0.0016299207	340.526571456759	338.6407843324469	content
position	323.52702702702703	8	position	40450148	0.00250512	329.7430052784258	329.79955805665264	content
red	335.4064748201439	3	red	19233374	3.47909775	340.56576862884646	340.26593551975196	content
sell	319.96153846153845	4	sell	8220156	0.0013347968	338.42106957178186	336.87231935212304	content
seven	373.3424657534247	5	seven	14902531	0.9119273134083333	336.25334296716915	335.52954634168617	content
side	296.43243243243245	4	side	48798225	0.48256451	338.3682647059994	337.09721605229777	content
small	343.9358024691358	5	small	68870614	7.3617864	336.1831134700645	338.54380748429304	content
someone	319.8974358974359	7	someone	2123510	5.4121265	331.9519110495607	334.0960041482758	content
three	381.0853658536585	5	three	94037962	2.6816769	336.1503628127269	336.35661672251007	content
up	324.6655172413793	2	up	232348461	0.000360656715	342.44746941295443	340.40851821561813	function
use	349.05535055350555	3	use	128514875	0.005597894	340.4235589294937	338.6426387152439	content
was	321.54826345893036	3	was	1140172617	6.010085	339.1070731380173	341.4487608214656	function
way	303.52008032128515	3	way	133443039	3.285337	340.4171458338244	340.175383851592	content
well	332.9321766561514	4	well	134592416	0.13137207401673334	338.25661940467506	336.93309065061845	content
what	321.6776371308017	4	what	87561320	2.674537625	338.31782169381995	338.1216073292977	function
where	325.87531486146094	5	where	136128991	5.221415	336.09558910880844	337.54353162475076	function
with	329.66502192982455	4	with	1110064802	4.595932	336.98722217393987	339.0195470092864	function
year	308.61333333333334	4	year	73403129	0.6168431	338.3362459656964	337.1599694753861	content
