word	mean_RT	word_length	word_lower
alone	326.4712643678161	5	alone
alone.	342.93333333333334	6	alone.
along	337.8152173913044	5	along
along,	337.65934065934067	6	along,
along.	356.27472527472526	6	along.
already	315.51394422310756	7	already
already!	463.29333333333335	8	already!
also	316.7300131061599	4	also
altitude	350.0857142857143	8	altitude
always	336.71055900621116	6	always
am	322.1113892365457	2	am
ambassador	420.36708860759495	10	ambassador
ambitions.	400.89285714285717	10	ambitions.
ambushed	313.4235294117647	8	ambushed
among	332.0469208211144	5	among
an	349.490943755958	2	an
and	332.0974213181709	3	and
and,	336.19070904645474	4	and,
anger,	328.2736842105263	6	anger,
anger.	365.95402298850576	6	anger.
angrily	324.65909090909093	7	angrily
angry	308.5903614457831	5	angry
animal.	363.9390243902439	7	animal.
announced	339.72972972972974	9	announced
announced.	345.4968152866242	10	announced.
annoyed	377.0568181818182	7	annoyed
annual	346.43589743589746	6	annual
another	338.2460567823344	7	another
answer	323.20238095238096	6	answer
answer,	411.10752688172045	7	answer,
answered	445.12	8	answered
anthropomorphic	528.1739130434783	15	anthropomorphic
anticipation	322.7945205479452	12	anticipation
anxiety	365.4513888888889	7	anxiety
any	327.6919431279621	3	any
any,	391.7613636363636	4	any,
anymore.	384.77777777777777	8	anymore.
anyone	356.6871165644172	6	anyone
anything	327.51063829787233	8	anything
anytime	326.97872340425533	7	anytime
apart	340.60869565217394	5	apart
apparently	387.5466666666667	10	apparently
appealing	387.1168831168831	9	appealing
appear	361.25454545454545	6	appear
appearance.	390.4888888888889	11	appearance.
appeared	322.4175824175824	8	appeared
appeared.	356.2926829268293	9	appeared.
applaud	313.75342465753425	7	applaud
applause	283.35616438356163	8	applause
approached	400.5777777777778	10	approached
approval.	393.9012345679012	9	approval.
approximately	391.45205479452056	13	approximately
apron	525.0978260869565	5	apron
archway,	399.2926829268293	8	archway,
are	333.8376664552949	3	are
area,	341.35714285714283	5	area,
argued	303.32	6	argued
arguing	325.80263157894734	7	arguing
arguments,	423.2567567567568	10	arguments,
arms	328.42021276595744	4	arms
arms,	293.8131868131868	5	arms,
arms.	359.0681818181818	5	arms.
around	331.50469483568077	6	around
around.	403.65895953757223	7	around.
arrived	352.34065934065933	7	arrived
arrows	356.7738095238095	6	arrows
art	342.28915662650604	3	art
articles,	363.63013698630135	9	articles,
as	335.0090112640801	2	as
ask	356.29347826086956	3	ask
asked	339.14859437751005	5	asked
asked,	358.4237804878049	6	asked,
asked.	348.8235294117647	6	asked.
asking	356.5444444444444	6	asking
asleep	308.4157303370786	6	asleep
asleep.	334.9318181818182	7	asleep.
asset	328.0657894736842	5	asset
assigned	324.64772727272725	8	assigned
assured	357.32876712328766	7	assured
assured,	336.95348837209303	8	assured,
at	320.74350573367656	2	at
atomic	363.4714285714286	6	atomic
atypical	394.27464788732397	8	atypical
audience	298.63758389261744	8	audience
audience,	314.4353741496599	9	audience,
audience.	343.3243243243243	9	audience.
author	363.28	6	author
autosomal	507.92753623188406	9	autosomal
avail.	352.5681818181818	6	avail.
average	375.38028169014086	7	average
avoid	355.4673913043478	5	avoid
awaited	324.3333333333333	7	awaited
away	309.32608695652175	4	away
away,	334.12698412698415	5	away,
away.	339.7117117117117	5	away.
baby,'	388.89304812834223	6	baby,'
back	321.88909599254424	4	back
back!	347.2613636363636	5	back!
back,	338.5301204819277	5	back,
back.	351.76171875	5	back.
background)	396.93589743589746	11	background)
background),	483.7435897435897	12	background),
backs	383.03846153846155	5	backs
bad	355.873417721519	3	bad
bade	342.89772727272725	4	bade
badly	317.5833333333333	5	badly
bag	328.10227272727275	3	bag
bakery.	375.6931818181818	7	bakery.
balance	348.4431818181818	7	balance
bald	340.0851063829787	4	bald
ballistic	370.92857142857144	9	ballistic
balloon	362.9144144144144	7	balloon
balloons	329.3623188405797	8	balloons
bank.	347.6179775280899	5	bank.
bar.	360.60215053763443	4	bar.
barber	323.50959488272923	6	barber
barber,	302.78723404255317	7	barber,
barbershop,	410.48936170212767	11	barbershop,
bare	416.6923076923077	4	bare
basic	324.32394366197184	5	basic
basis	304.6857142857143	5	basis
be	326.5051490514905	2	be
beach,	324.31868131868134	6	beach,
beamed	379.34939759036143	6	beamed
beaming	332.2814371257485	7	beaming
beast's	382.64285714285717	7	beast's
beat	321.86033519553075	4	beat
beautiful	333.94533029612757	9	beautiful
beautiful,	308.95604395604397	10	beautiful,
beavers	359.7906976744186	7	beavers
became	342.2828685258964	6	became
because	334.7316896301668	7	because
beckoning	361.52	9	beckoning
become	328.4078947368421	6	become
bed	321.577868852459	3	bed
bed,	364.64541832669323	4	bed,
bed.	359.65934065934067	4	bed.
bedroom	312.4060606060606	7	bedroom
been	322.49359658484525	4	been
before	334.74221453287197	6	before
before,	382.26881720430106	7	before,
before.	344.7701149425287	7	before.
began	308.81458333333336	5	began
began,	343.94520547945206	6	began,
beginning	341.29411764705884	9	beginning
behave	347.6666666666667	6	behave
behind	318.2722891566265	6	behind
behold,	308.6373626373626	7	behold,
being	322.322	5	being
being,	346.0987654320988	6	being,
believe	324.24	7	believe
believed	317.10878661087867	8	believed
belonged	350.4121621621622	8	belonged
belonged.	902.3888888888889	9	belonged.
belonging	307.28767123287673	9	belonging
below	330.4157303370786	5	below
below,	342.14130434782606	6	below,
bending,	400.3521126760563	8	bending,
beside	321.0246913580247	6	beside
best.	342.0	5	best.
better	327.24810606060606	6	better
between	328.9148936170213	7	between
bewitching	368.494623655914	10	bewitching
bide	370.8313253012048	4	bide
big	321.613810741688	3	big
bigger	305.84705882352944	6	bigger
birches	335.4945054945055	7	birches
bird	333.5327399872854	4	bird
bird,	339.8045977011494	5	bird,
birds	326.71604938271605	5	birds
birds,	364.3068181818182	6	birds,
birds.	366.33714285714285	6	birds.
bit	308.9329268292683	3	bit
bitch,	405.8279569892473	6	bitch,
bitter	307.95348837209303	6	bitter
black	373.4651162790698	5	black
blatantly	391.25274725274727	9	blatantly
bleeped	337.61842105263156	7	bleeped
blew	308.79347826086956	4	blew
blinking	358.0416666666667	8	blinking
blinking,	352.6575342465753	9	blinking,
blood	317.07042253521126	5	blood
bloom	386.7763157894737	5	bloom
blow	328.3626373626374	4	blow
blue	350.9245810055866	4	blue
bluebird,	374.14942528735634	9	bluebird,
boar	318.41284403669727	4	boar
boar!'	303.8192771084337	6	boar!'
boar's	329.35363790186125	6	boar's
boar,	335.84375	5	boar,
boar.	362.66265060240966	5	boar.
boar?	324.3058823529412	5	boar?
boar?'	348.7647058823529	6	boar?'
board	324.1914893617021	5	board
bobbing	347.23030303030305	7	bobbing
bodies	350.67123287671234	6	bodies
body.	386.38947368421054	5	body.
bold	341.5988372093023	4	bold
bomb	359.8169014084507	4	bomb
bones	365.86170212765956	5	bones
bones?'	1131.6375	7	bones?'
book	343.57522123893807	4	book
book,	336.7168674698795	5	book,
books	315.0	5	books
books,	364.06944444444446	6	books,
bore	351.56470588235294	4	bore
botanical	401.94871794871796	9	botanical
botanist	451.3246753246753	8	botanist
botanists	355.2763157894737	9	botanists
both	307.94827586206895	4	both
bottom,	401.6707317073171	7	bottom,
bottom.	333.85	7	bottom.
bottoms	371.9759036144578	7	bottoms
bought	298.2987012987013	6	bought
bow,	344.5595238095238	4	bow,
boy	383.6195652173913	3	boy
boys	325.31413612565444	4	boys
boys,	396.2315789473684	5	boys,
brass	356.98523985239854	5	brass
breakfast.	370.4191616766467	10	breakfast.
breaking	396.7654320987654	8	breaking
breaking'	398.5584415584416	9	breaking'
breathe	370.35955056179773	7	breathe
breathing	313.65060240963857	9	breathing
brick	344.8279569892473	5	brick
bricks.	356.5108695652174	7	bricks.
bridge	343.6703296703297	6	bridge
brief,	347.55555555555554	6	brief,
bright	321.54395604395603	6	bright
brighter	329.13186813186815	8	brighter
brightly,	324.0869565217391	9	brightly,
brightness	318.21666666666664	10	brightness
bring	288.52941176470586	5	bring
bringing	374.5	8	bringing
brook	314.4909090909091	5	brook
brook,	354.1573033707865	6	brook,
brother	334.53956834532374	7	brother
brothers	302.07749077490774	8	brothers
brought	308.325	7	brought
brown	377.7974683544304	5	brown
brunt	358.1162790697674	5	brunt
brushed	301.4462365591398	7	brushed
bubble	333.02597402597405	6	bubble
bubble,	377.81045751633985	7	bubble,
bubble.	418.4313725490196	7	bubble.
bubbles.	436.1686746987952	8	bubbles.
buds	372.8562091503268	4	buds
buds,	408.4868421052632	5	buds,
buds.	505.87417218543044	5	buds.
bugging	352.2105263157895	7	bugging
buildup	319.4714285714286	7	buildup
bulb	366.2899022801303	4	bulb
bulb.	468.02564102564105	5	bulb.
bulbs	334.42618741976895	5	bulbs
bulbs,	356.82894736842104	6	bulbs,
bulbs.	341.15584415584414	6	bulbs.
bundle	333.264367816092	6	bundle
burned!	370.2111111111111	7	burned!
burner	324.8780487804878	6	burner
burning	354.05494505494505	7	burning
burns	334.14285714285717	5	burns
burnt!	348.1666666666667	6	burnt!
burst	316.57142857142856	5	burst
burst.	331.75625	6	burst.
busy	353.1583011583012	4	busy
but	333.43941668453783	3	but
butter	300.8536585365854	6	butter
buy	324.05314009661834	3	buy
buyers	319.8831168831169	6	buyers
buyers.	387.92105263157896	7	buyers.
buzz	335.0851063829787	4	buzz
by	327.5554202192448	2	by
by,	372.14444444444445	3	by,
call	320.8494318181818	4	call
called	337.66568914956014	6	called
called,	320.9526627218935	7	called,
calm	307.3611111111111	4	calm
calm,	326.75	5	calm,
came	343.408560311284	4	came
camouflage,	363.9166666666667	11	camouflage,
can	327.1712962962963	3	can
can't	347.8875	5	can't
candle-like	389.03333333333336	11	candle-like
candy	317.1720430107527	5	candy
cannot	304.1666666666667	6	cannot
capable	271.3918918918919	7	capable
car	303.6666666666667	3	car
car.	451.69736842105266	4	car.
carcass	335.98837209302326	7	carcass
cards	313.8068181818182	5	cards
careful	310.6707317073171	7	careful
careful,	317.66265060240966	8	careful,
carefully	362.8181818181818	9	carefully
carriages	402.9247311827957	9	carriages
carried	339.94505494505495	7	carried
carry	312.90944881889766	5	carry
carry.	404.0777777777778	6	carry.
carrying	363.0989010989011	8	carrying
case	333.1386554621849	4	case
cases	320.7916666666667	5	cases
cast	341.6575342465753	4	cast
catch	316.2168674698795	5	catch
cause.	389.80281690140845	6	cause.
caused	311.1808510638298	6	caused
causing	303.63013698630135	7	causing
celebrate	342.9529411764706	9	celebrate
celebrating	345.4507042253521	11	celebrating
century	410.37974683544303	7	century
certain	315.443661971831	7	certain
certainly	355.17283950617286	9	certainly
chair	314.32978723404256	5	chair
chair.	326.26881720430106	6	chair.
chairs	324.73118279569894	6	chairs
challenging	398.5	11	challenging
chance	323.2055555555556	6	chance
changed	378.010989010989	7	changed
changed,	391.8021978021978	8	changed,
changes	301.57894736842104	7	changes
characterized	380.7448275862069	13	characterized
check	295.41975308641975	5	check
cheering	280.6849315068493	8	cheering
cheers	284.5068493150685	6	cheers
chest	305.0365853658537	5	chest
chicanery	440.1764705882353	9	chicanery
child	339.7111111111111	5	child
child's	334.2717391304348	7	child's
child,	354.1630434782609	6	child,
childhood	370.06756756756755	9	childhood
childhood.	433.5138888888889	10	childhood.
chirping	324.16201117318434	8	chirping
chocolate	499.7362637362637	9	chocolate
choice	271.9866666666667	6	choice
chosen	406.5632183908046	6	chosen
chronic	382.0408163265306	7	chronic
church	412.96590909090907	6	church
cigarette.	347.7741935483871	10	cigarette.
circle.	332.4945054945055	7	circle.
city	329.23664122137404	4	city
clacking,	433.95454545454544	9	clacking,
claimed	324.43518518518516	7	claimed
claims	329.1920529801325	6	claims
claims,	413.67123287671234	7	claims,
class	334.4642857142857	5	class
class,	331.3614457831325	6	class,
classic	308.4736842105263	7	classic
classified	334.0888888888889	10	classified
clatter	315.20652173913044	7	clatter
clattered	414.81176470588235	9	clattered
clattering	356.35164835164835	10	clattering
clean	328.5443786982249	5	clean
cleaning	332.86746987951807	8	cleaning
clear	341.7534626038781	5	clear
clear,	311.0617283950617	6	clear,
cleared	326.9024390243902	7	cleared
clears	321.1566265060241	6	clears
clever	335.76190476190476	6	clever
cliff	345.8021978021978	5	cliff
climate.	391.6625	8	climate.
climbed	318.8188679245283	7	climbed
clinging	342.89820359281435	8	clinging
clinicians	458.8169014084507	10	clinicians
clone	380.6753246753247	5	clone
close	325.6823529411765	5	close
closed	302.87654320987656	6	closed
closer	307.4945054945055	6	closer
cloud	350.95454545454544	5	cloud
cloud,	337.032967032967	6	cloud,
clouds,	379.85945945945946	7	clouds,
co-occurs	400.04285714285714	9	co-occurs
coat	342.7567567567568	4	coat
cold	338.0670826833073	4	cold
cold,	364.97777777777776	5	cold,
cold.	394.5168539325843	5	cold.
collapsed,	367.61538461538464	10	collapsed,
collapsed.	417.525	10	collapsed.
collars	394.3521126760563	7	collars
collection	307.1898734177215	10	collection
colors,	383.9746835443038	7	colors,
combination	329.35714285714283	11	combination
combined	340.5629139072848	8	combined
come	318.9005988023952	4	come
come,	455.40909090909093	5	come,
comfort	369.1066666666667	7	comfort
coming	327.5280898876405	6	coming
commence.	387.8953488372093	9	commence.
commerce	354.88461538461536	8	commerce
common	336.0979020979021	6	common
commonly	364.01428571428573	8	commonly
comparable	356.90410958904107	10	comparable
competition	377.17241379310343	11	competition
complete	305.8085106382979	8	complete
completely	364.3614457831325	10	completely
complex	352.5753424657534	7	complex
complex.	364.3285714285714	8	complex.
compression	391.9577464788732	11	compression
computerized	450.34722222222223	12	computerized
concert	320.67123287671234	7	concert
concert,	382.64	8	concert,
concluded	357.5241379310345	9	concluded
conclusion,	342.84285714285716	11	conclusion,
conclusions	345.73333333333335	11	conclusions
condition	365.24545454545455	9	condition
condition,	352.3312101910828	10	condition,
condition.	372.7945205479452	10	condition.
conditions	324.9086757990868	10	conditions
conduct	341.0	7	conduct
conducted	338.7857142857143	9	conducted
conference	341.85135135135135	10	conference
confident	295.2027027027027	9	confident
confirmed	344.5430463576159	9	confirmed
confused	365.32142857142856	8	confused
