word	frequency	word_lower
help	53942915	help
saw	36746641	saw
severity	2389980	severity
problem	49011206	problem
faced	7102446	faced
suggested	15644892	suggested
contest	2238178	contest
could	205904563	could
solve	5061342	solve
problem .	6974314	problem .
He	239125461	he
said	171981082	said
whoever	1317362	whoever
kill	7599359	kill
bring	21687869	bring
proof	6786238	proof
House	19438505	house
be	964072174	be
rewarded	1263320	rewarded
land	36688838	land
fame .	265928	fame .
fame	2125715	fame
knew	37182349	knew
them	240201864	them
rejoiced	346775	rejoiced
proclamation	914548	proclamation
one	398913374	one
question	44123698	question
remained :	31634	remained :
remained	15552573	remained
:	911093236	:
boar ?	1402	boar ?
?	372964599	?
handsome	2651402	handsome
reward	3549720	reward
many	138917121	many
felt	35889439	felt
tempted ,	64592	tempted ,
tempted	1549098	tempted
thought	64294078	thought
deadly	1695296	deadly
tusks	141882	tusks
face	45765806	face
like	167991828	like
thunder	1122965	thunder
soon	26497323	soon
put	49376612	put
an	576832090	an
end	66509685	end
ambitions .	213744	ambitions .
ambitions	1197056	ambitions
huntsman ,	13040	huntsman ,
huntsman	60870	huntsman
still	82706155	still
wet	5090834	wet
behind	28598426	behind
ears ,	951047	ears ,
decided	17207383	decided
prize	1999559	prize
worth	12274006	worth
shot ,	809782	shot ,
shot	10073717	shot
spite	5588003	spite
reputation .	558653	reputation .
reputation	5223356	reputation
discovered	10134571	discovered
preferred	6241124	preferred
out	242417228	out
middle	19971508	middle
day .	13135270	day .
day	88338993	day
went	48598135	went
his	632876249	his
good	99518711	good
bow ,	354786	bow ,
bow	2850894	bow
bide	79091	bide
time .	30808259	time .
time	252986157	time
noontime ,	6956	noontime ,
noontime	43965	noontime
feared	3268205	feared
locals ,	97855	locals ,
locals	813912	locals
came	61302439	came
out ,	14166590	out ,
slow	9550031	slow
snail ,	31388	snail ,
snail	333225	snail
from	708532803	from
among	56872364	among
trees ,	2558135	trees ,
trees	12681082	trees
predicted .	231083	predicted .
predicted	3979644	predicted
leaped	771890	leaped
hiding	2401429	hiding
place	78015798	place
through	147254130	through
heart	32678215	heart
fine	15623119	fine
arrows	1877184	arrows
boar .	30774	boar .
Now	27643142	now
no	236436100	no
longer	28040212	longer
way	133443039	way
carry	12615369	carry
back .	8751977	back .
back	107859495	back
too	82143809	too
heavy	13424014	heavy
little	78869880	little
House ,	3933377	house ,
quick - witted	34006	quick - witted
quick	7462194	quick
witted	146511	witted
cunning	777409	cunning
ever ,	1335046	ever ,
ever	39805996	ever
himself ,	6406934	himself ,
himself	51056413	himself
' What	2770327	' what
What	87561320	what
'	836175651	'
else	23413085	else
can	416290431	can
I	926120510	i
do	256960172	do
prove	8557322	prove
killed	11238786	killed
boar ? '	75	boar ? '
next	47961300	next
instance	18016127	instance
opened	14564232	opened
mouth	13275186	mouth
cut	19831304	cut
tongue ,	843943	tongue ,
tongue	5228274	tongue
taking	25974145	taking
Lord .	1344397	lord .
set	70534745	set
quickly	18146835	quickly
only	224965302	only
been	310806848	been
gone	17937353	gone
few	64575815	few
minutes	19913825	minutes
when	249000060	when
not	1006314753	not
bold	2562505	bold
more	329429635	more
cunning ,	132420	cunning ,
scene .	1734299	scene .
scene	12232135	scene
Seeing	1191200	seeing
slain	723487	slain
carcass	335947	carcass
fortune .	507492	fortune .
fortune	3300609	fortune
shortcut	655198	shortcut
nearby	4756208	nearby
pond ,	249988	pond ,
pond	1463397	pond
and ,	50781059	and ,
bigger	3025646	bigger
man	97465290	man
than	248883542	than
able	42495598	able
pick	6368929	pick
up	232348461	up
towards	20140341	towards
awaited	856594	awaited
him .	40591745	him .
him	230330497	him
seated	2983271	seated
burst	3346798	burst
door	28468168	door
began	38623128	began
spin	2746279	spin
line .	5030137	line .
line	47965608	line
' The	10967787	' the
woes	282863	woes
are	817391287	are
ended ! '	153	ended ! '
ended	8015011	ended
!	123838941	!
announced .	367842	announced .
announced	5630117	announced
' With	184690	' with
my	230745730	my
own	109739389	own
hand	63081980	hand
have	593092485	have
boar ! '	80	boar ! '
that ,	34196468	that ,
feet	23073556	feet
dropped	7178101	dropped
enormous	5284735	enormous
head .	7871801	head .
' Then	398501	' then
Then	39430787	then
will	314222543	will
rewarded ,	74847	rewarded ,
promised . '	2710	promised . '
promised	5574370	promised
' But	1442248	' but
let	35077105	let
me	196933753	me
examine	7511339	examine
monster , '	1903	monster , '
monster	1450114	monster
Manor .	42915	manor .
advance	8091306	advance
very	134366972	very
clever	1870677	clever
part	92088752	part
huntsman .	5140	huntsman .
Right	6699265	right
away ,	6556853	away ,
away	56906743	away
noticed	6953790	noticed
missing	5863582	missing
exclaimed ,	601312	exclaimed ,
exclaimed	2353102	exclaimed
this ?	2716711	this ?
tongue ? '	1500	tongue ? '
looked	37086942	looked
dubiously .	26618	dubiously .
dubiously	68711	dubiously
' How	1119644	' how
How	42231777	how
creature	3163415	creature
demanded .	682531	demanded .
demanded	5016316	demanded
questioned	2703531	questioned
replied ,	2338976	replied ,
replied	9141323	replied
' I	12279503	' i
can not	66819566	can not
say ,	13995382	say ,
say	65187655	say
Lord . '	28417	lord . '
suddenly	10432550	suddenly
realizing	1482798	realizing
tricky	550618	tricky
situation	29153658	situation
badly	3287455	badly
moment ,	5414379	moment ,
moment	29123824	moment
burst .	146849	burst .
cried .	850175	cried .
cried	5416949	cried
dreaded ! '	0	dreaded ! '
dreaded	674403	dreaded
turned	31575372	turned
stood	17437380	stood
doorway .	498911	doorway .
doorway	1916234	doorway
already	40871799	already
given , '	4304	given , '
given	66612125	given
here	77002046	here
brought	29618021	brought
head . '	32175	head . '
replied .	2059406	replied .
saying ,	3546951	saying ,
saying	16371671	saying
drew	6347750	drew
hunting	3880630	hunting
pouch	579050	pouch
related	32471782	related
ambushed	138658	ambushed
victory .	853134	victory .
victory	5565155	victory
Listening	670303	listening
tale ,	467184	tale ,
tale	3569661	tale
tried	20190743	tried
discern	1055330	discern
telling	8529549	telling
truth	21212229	truth
two	201126338	two
huntsmen	31747	huntsmen
thinking	21994320	thinking
they	418953705	they
waited	5178307	waited
make	111219711	make
decision .	2250862	decision .
decision	27152106	decision
Almost	2698955	almost
instantly ,	162709	instantly ,
instantly	2145741	instantly
fed	3765916	fed
pack	2918823	pack
lies	9119275	lies
true	37153771	true
savior	252326	savior
believed	14506062	believed
steal	1503787	steal
huntsman 's	5248	huntsman 's
proclaimed	1901252	proclaimed
victor .	44675	victor .
victor	303467	victor
wondered	5177466	wondered
why	37439826	why
always	61220587	always
encountered	4172025	encountered
much	116385957	much
chicanery	52872	chicanery
everyday	4565185	everyday
interactions .	836724	interactions .
interactions	6686819	interactions
earned	3868494	earned
fair	10168232	fair
square	9853529	square
received	24664326	received
piece	13321986	piece
town ,	3145719	town ,
town	21082393	town
thereafter	2309442	thereafter
Hunt	1641880	hunt
Yard .	55021	yard .
Yard	419358	yard
indeed	17667180	indeed
assured ,	225079	assured ,
assured	3714327	assured
nearly	15730154	nearly
lasting	2601928	lasting
clear	35415613	clear
joyous	518199	joyous
wide	18934643	wide
open	40299926	open
sea ,	2196853	sea ,
sea	15805476	sea
thousands	7408000	thousands
upon	63368120	upon
sparkling	702011	sparkling
drops ,	157224	drops ,
drops	2565401	drops
excited	3675168	excited
getting	18555552	getting
play	29832939	play
ocean ,	575251	ocean ,
ocean	4545633	ocean
danced	1212113	danced
these	212323984	these
merry	725960	merry
fellow	7640878	fellow
named	12183636	named
Aqua ,	5541	aqua ,
Aqua	93158	aqua
silver	6488905	silver
backs	1537622	backs
fishes	885735	fishes
plunged	922053	plunged
down	98751710	down
waves ,	765849	waves ,
waves	6088299	waves
sprung ,	24616	sprung ,
sprung	590246	sprung
again	64543110	again
mother 's	4692061	mother 's
mother	39696579	mother
lap .	586451	lap .
lap	1856598	lap
mother ,	5261105	mother ,
know ,	9287011	know ,
know	103090059	know
beautiful	12851183	beautiful
she	278699382	she
summer	13037148	summer
her	415597541	her
dark	17668371	dark
blue	13285921	blue
dress	6577482	dress
white	37948322	white
ruffles .	8052	ruffles .
ruffles	73134	ruffles
by ,	4172507	by ,
happy	12121639	happy
drop	7963603	drop
tired	4899147	tired
play ,	2444376	play ,
sky	7458490	sky
above	47783304	above
him ,	29801104	him ,
sail	1920964	sail
white ,	2452455	white ,
marshmallow - like	150	marshmallow - like
marshmallow	53785	marshmallow
clouds ,	520509	clouds ,
clouds	3380244	clouds
instead	19406033	instead
spending	5669486	spending
whole	42803829	whole
life	120194864	life
ocean .	638302	ocean .
sky ,	1387811	sky ,
afraid ,	511405	afraid ,
afraid	7681021	afraid
finally	17208239	finally
demons	1100088	demons
solution	19087669	solution
involving	7881037	involving
sun	12492350	sun
carrying	7736371	carrying
ideal .	536916	ideal .
ideal	9395146	ideal
understood	13568850	understood
Aqua 's	658	aqua 's
request	9269744	request
heart ,	3605228	heart ,
acquiesced	193970	acquiesced
also	248861077	also
took	50478963	took
other	281661595	other
might	86236716	might
lonesome	163844	lonesome
way .	13528083	way .
this ,	15384820	this ,
changed	16742569	changed
mist	1148616	mist
or	793525686	or
vapor	1560865	vapor
them .	42669689	them .
is ?	747028	is ?
breathe	1829018	breathe
air ,	3434267	air ,
air	31277584	air
cold	14949741	cold
enough ,	4172082	enough ,
enough	42301468	enough
coming	20383546	coming
your	205261264	your
thick	7423431	thick
fast	11581233	fast
steam .	213580	steam .
steam	3152975	steam
near	26915276	near
earth ,	2995980	earth ,
earth	16796169	earth
we	340770885	we
call	32401764	call
' fog ' .	121	' fog ' .
fog	1361343	fog
changed ,	1227284	changed ,
because	136741894	because
shape	13600507	shape
sunbeams	51352	sunbeams
carry .	159036	carry .
Higher	2286590	higher
sailed ,	45412	sailed ,
sailed	1502792	sailed
though	52696046	though
grand ,	155164	grand ,
grand	4808581	grand
friends	22974473	friends
fish	11132902	fish
grew	9240118	grew
dizzy .	92036	dizzy .
dizzy	421097	dizzy
enjoyed	5898243	enjoyed
world	90456522	world
below ,	2620737	below ,
below	25562587	below
while	83722224	while
wind	10825311	wind
scattered	3486918	scattered
across	33682916	across
four	49087752	four
corners	2145300	corners
after	131123106	after
bed .	3658500	bed .
bed	17264116	bed
became	41999262	became
red	19233374	red
face ,	4986761	face ,
sink	2411471	sink
lower	28478850	lower
lower ,	498579	lower ,
until	54630510	until
sight !	56662	sight !
sight	9606496	sight
Poor	2991936	poor
frightened	2413075	frightened
impending	918622	impending
darkness ,	1060673	darkness ,
darkness	5404942	darkness
wished	4999448	wished
sleep	12082335	sleep
somewhere	5349297	somewhere
closer	8390061	closer
earth .	2808716	earth .
heard	26357604	heard
blow	3983689	blow
conjectured	154349	conjectured
maybe	8076865	maybe
take	83145589	take
Indeed ,	9598466	indeed ,
pity	2180399	pity
fanned	256187	fanned
together	43957560	together
brothers	5599302	brothers
sisters ,	758299	sisters ,
sisters	3625682	sisters
gray	4964758	gray
cloud ,	291877	cloud ,
cloud	3174456	cloud
blew	1613540	blew
apart	8514887	apart
told	43901950	told
hurry	1864167	hurry
down ,	7415001	down ,
furious	1285256	furious
fighting	6930258	fighting
chance	13447740	chance
reaching	5456390	reaching
went ,	814238	went ,
rolling	2876355	rolling
over	162192656	over
each	121902893	each
patter	116775	patter
clatter	229741	clatter
spatter	46990	spatter
touched	4567529	touched
ground ,	3182786	ground ,
ground	25370252	ground
raindrops	119580	raindrops
fell	12415770	fell
cried ,	834834	cried ,
' It 's	981711	' it 's
It 's	26468411	it 's
raining ' ,	1166	raining ' ,
raining	450302	raining
umbrellas .	28720	umbrellas .
umbrellas	176490	umbrellas
Some	38265923	some
fortunate ,	128248	fortunate ,
fortunate	1781675	fortunate
including	45597635	including
mountainside ,	30414	mountainside ,
mountainside	150221	mountainside
rocky	1191306	rocky
cliff	1153934	cliff
ran .	206369	ran .
ran	11331563	ran
mountain	6678638	mountain
brook ,	80154	brook ,
brook	439768	brook
foaming	212383	foaming
dashing	349027	dashing
along ,	1233490	along ,
along	41977332	along
leaping	489711	leaping
rocks	4911070	rocks
rushing	1112733	rushing
hillside ,	102109	hillside ,
hillside	570964	hillside
strangest	217542	strangest
clattering	121321	clattering
noise .	868925	noise .
noise	7880836	noise
flour	2135831	flour
standing	13587754	standing
bank .	1145761	bank .
bank	12431371	bank
Inside	2042827	inside
mill ,	315594	mill ,
stones ,	757738	stones ,
stones	3978942	stones
big	22941525	big
wheel	3834055	wheel
kept	19944712	kept
whizzing	60669	whizzing
round	14284199	round
round .	909142	round .
smoothed	578325	smoothed
spinning ,	123633	spinning ,
grinding	914801	grinding
wheat	3103616	wheat
corn	3418741	corn
golden	4031891	golden
meal .	869707	meal .
meal	4633730	meal
giant	3393047	giant
suppose	7125336	suppose
turn	30820919	turn
swing	2181363	swing
tremendous	2801751	tremendous
wheel ?	16192	wheel ?
all .	12031315	all .
our	162647972	our
tiny	5635566	tiny
sprang	1242355	sprang
hundreds	5212001	hundreds
thousands ,	272961	thousands ,
whirled	399162	whirled
over .	4790478	over .
lucky	2678763	lucky
swimming	2464770	swimming
emptied	667879	emptied
ducks	636351	ducks
geese	456207	geese
living	29569532	living
peacefully .	92878	peacefully .
peacefully	579294	peacefully
hide - and - seek	49865	hide - and - seek
hide	4034362	hide
seek	10313018	seek
brother	14364432	brother
fooled	371279	fooled
pool	5265222	pool
pretending	896423	pretending
there ,	11802659	there ,
sneaking	255524	sneaking
under	99197859	under
rock	9223034	rock
obscured	772931	obscured
puddle .	34495	puddle .
puddle	232136	puddle
blatantly	218878	blatantly
peaked	445987	peaked
followed	23689125	followed
entered	11705783	entered
searched	1762012	searched
extremely	9873741	extremely
surprised	5800179	surprised
gave	30520506	gave
up .	14611148	up .
day ,	14191410	day ,
stayed	5275752	stayed
while ,	2421508	while ,
sailing	1434532	sailing
ducks '	6278	ducks '
ships	5955428	ships
frogs	550370	frogs
horses ,	1312835	horses ,
horses	6457837	horses
dull	2135047	dull
life ,	16799877	life ,
floated	842312	floated
bridge	6236020	bridge
distance ,	1868479	distance ,
distance	18155596	distance
another	83344110	another
tumbling	422917	tumbling
hillside .	98730	hillside .
' Come ,	56255	' come ,
let 's	2899157	let 's
join	7989363	join
hands ! '	2881	hands ! '
hands	29361361	hands
together ,	6151654	together ,
overcoming	918752	overcoming
child 's	4721637	child 's
child	46276643	child
play .	2428412	play .
bewitching	80041	bewitching
river	12570076	river
float	1460095	float
ships ,	867657	ships ,
ago	15950013	ago
stream .	785974	stream .
stream	6638154	stream
wider	4962184	wider
realized	9907379	realized
full	39841263	full
circle .	978490	circle .
circle	7524861	circle
home .	10087769	home .
home	58425147	home
safest ,	19086	safest ,
safest	352869	safest
sweetest	256956	sweetest
world .	15942361	world .
During	17869601	during
warm	8890485	warm
evenings ,	212304	evenings ,
evenings	1107756	evenings
walk	11800015	walk
beach ,	741168	beach ,
beach	4267850	beach
hear	18622526	hear
gentle	3529333	gentle
rippling	198044	rippling
swash	27029	swash
must	124852809	must
gurgling	115569	gurgling
voices	4634004	voices
wonderful	6181671	wonderful
last	57574244	last
evening	12026621	evening
old	66132164	old
year ,	9610556	year ,
year	73403129	year
snow	5572025	snow
falling	5726190	falling
furious .	207575	furious .
girl	16352263	girl
sheltered	783069	sheltered
gelid	5523	gelid
roamed	298255	roamed
streets	6363181	streets
bare	3552320	bare
naked	2966278	naked
feet ,	3164194	feet ,
church	22128712	church
mouse .	335380	mouse .
mouse	3954755	mouse
pair	7856480	pair
slippers	399363	slippers
left	65369345	left
home ,	8083467	home ,
use	128514875	use
chocolate	1891939	chocolate
teapot .	25030	teapot .
teapot	143052	teapot
owned	7296902	owned
large	65165705	large
emaciated	183967	emaciated
lost	24735186	lost
running	14525743	running
street	11526168	street
avoid	14527295	avoid
carriages	477421	carriages
terrible	4962006	terrible
rate .	2929951	rate .
rate	42059875	rate
find ,	791896	find ,
boy	15012057	boy
seized	2716575	seized
other ,	8744119	other ,
pet	1554092	pet
cold ,	2082219	cold ,
on ,	13329496	on ,
wondering	2646075	wondering
get	86515246	get
dreadful	1253651	dreadful
night .	6873405	night .
night	37510529	night
approached	4497245	approached
hovel	73520	hovel
used	127267606	used
shelter	2858728	shelter
times	44168985	times
before ,	5804935	before ,
before	114226587	before
found	84394374	found
entrance	5072945	entrance
locked .	239620	locked .
locked	3534598	locked
Tough	227647	tough
luck	3228871	luck
girl !	147272	girl !
others .	10499672	others .
others	56694406	others
Samaritan	305307	samaritan
penny .	97589	penny .
penny	857995	penny
selling	5975094	selling
any	178544323	any
matches	1817726	matches
carried	18379709	carried
apron	585076	apron
grandmother	2772794	grandmother
her .	25582863	her .
child ,	4584278	child ,
picture	15757363	picture
misery .	340707	misery .
misery	1810230	misery
long ,	5897457	long ,
hair ,	2732595	hair ,
hair	16590025	hair
hung	4583020	hung
curls	592426	curls
shoulders ,	1093398	shoulders ,
shoulders	5310532	shoulders
snowflakes	107810	snowflakes
landing ,	261027	landing ,
landing	2746509	landing
did	164942220	did
notice	11275569	notice
shivered	491021	shivered
along .	1365026	along .
losing	4480292	losing
strength	16565468	strength
beginning	23257497	beginning
doubt	14188519	doubt
weather	6846495	weather
storm .	566220	storm .
storm	4050839	storm
New	115330984	new
Year 's ,	16677	year 's ,
Year 's	544535	year 's
herself	20074494	herself
why ,	1538360	why ,
lights	4876964	lights
shone	977222	shone
every	63144706	every
window ,	2622860	window ,
window	16418243	window
savory	129660	savory
smell	3934490	smell
roast	622675	roast
goose	594511	goose
crept	917285	crept
streets ,	1181368	streets ,
alone .	5156496	alone .
alone	24587884	alone
Exhausted ,	30814	exhausted ,
Exhausted	84246	exhausted
sat	14799021	sat
corner	8812182	corner
bakery .	46317	bakery .
bakery	343420	bakery
rag	525215	rag
legs	7656636	legs
cover	13765275	cover
herself ,	2460098	herself ,
keep	32794260	keep
cold .	1418113	cold .
girl ,	2337311	girl ,
completely	14829586	completely
enveloped ,	9615	enveloped ,
enveloped	431228	enveloped
dared	1389752	dared
sold	9868687	sold
matches .	167847	matches .
father	37245167	father
mean	33028765	mean
moody	178771	moody
since	58545854	since
wife	24047871	wife
meet	19601213	meet
Maker .	50713	maker .
Maker	441171	maker
certainly	15468602	certainly
beat	5158229	beat
her ,	17413523	her ,
done	40695923	done
several	51680241	several
weeks	15374579	weeks
past ,	4584070	past ,
past	36197622	past
today .	5285718	today .
today	23436226	today
Besides ,	2409559	besides ,
Besides	4804021	besides
outside ,	1527713	outside ,
patchy	202526	patchy
roof	4736012	roof
girl 's	1038873	girl 's
frozen	2924343	frozen
solid	9023598	solid
burning	4921928	burning
match	6404010	match
good .	5225351	good .
' Scratch ! '	0	' scratch ! '
Scratch	118245	scratch
sounded	3237154	sounded
out .	14986569	out .
sputtered	194678	sputtered
burnt !	1750	burnt !
burnt	1370914	burnt
warm ,	1114531	warm ,
candle - like	776	candle - like
candle	1323233	candle
bright	6970967	bright
light	42409052	light
hid	1302076	hid
held	35236312	held
it .	71375197	it .
wanted	31176058	wanted
buy	10703771	buy
match ?	29435	match ?
light ,	4134824	light ,
really .	676419	really .
really	36961130	really
seemed	29429319	seemed
iron	9018328	iron
stove ,	276036	stove ,
stove	1321112	stove
polished	1396810	polished
brass	1608799	brass
ornament .	83768	ornament .
ornament	636175	ornament
fire	20358097	fire
burned !	4317	burned !
burned	3595097	burned
actually	22550287	actually
stretched	2870453	stretched
them ,	26660511	them ,
flame	2296775	flame
short ,	4763858	short ,
short	35215395	short
stubby	107470	stubby
rubbed	1368620	rubbed
wall .	2749169	wall .
wall	16611174	wall
flame ,	269462	flame ,
lo	1835109	lo
behold ,	284238	behold ,
behold	955504	behold
transported	1632242	transported
dank	131695	dank
beautiful ,	1466927	beautiful ,
sunny	990671	sunny
forest .	993572	forest .
forest	9078094	forest
birds	6361699	birds
chirping	104585	chirping
wildflowers	178706	wildflowers
birches	59919	birches
snow .	791662	snow .
squirrel	423302	squirrel
food	29768787	food
scurried	184341	scurried
underbrush .	31269	underbrush .
underbrush	129607	underbrush
curious ,	290270	curious ,
curious	3670543	curious
dug	1560602	dug
forgot	1964672	forgot
place ,	8270154	place ,
nowhere	2429404	nowhere
found .	2216127	found .
was n't	15985	was n't
n't	234780	n't
eyes .	7031428	eyes .
thick ,	919463	thick ,
damp ,	190803	damp ,
damp	1479540	damp
despondently	23973	despondently
fully	15213503	fully
darkened	826953	darkened
star	5786355	star
fall ,	1265757	fall ,
fall	18115537	fall
leaving	11955888	leaving
streak	586066	streak
fire .	2922577	fire .
' Someone	37285	' someone
Someone	2123510	someone
dying , '	3793	dying , '
dying	4562528	dying
girl .	1812024	girl .
grandmother ,	452985	grandmother ,
loved	9427047	loved
most ,	1013054	most ,
Sunday ,	1017788	sunday ,
Sunday	6862790	sunday
falls ,	352623	falls ,
falls	5064619	falls
soul	12819375	soul
leaves	11306879	leaves
brightness	1007383	brightness
stood ,	720299	stood ,
loving	3752220	loving
appearance .	1262781	appearance .
appearance	11013949	appearance
disappear ,	292085	disappear ,
disappear	2425438	disappear
' Grandmother , '	155	' grandmother , '
one ,	11012439	one ,
' O	237680	' o
O	14670016	o
you !	1804746	you !
burns	1099971	burns
out ! '	26726	out ! '
bundle	1489577	bundle
matches ,	180013	matches ,
order	71575698	order
there .	13094403	there .
glowed	407209	glowed
brighter	705224	brighter
never	74546406	never
appeared	16686293	appeared
arms ,	2368068	arms ,
arms	15980830	arms
both	116011743	both
flew	2656765	flew
upwards	1097934	upwards
joy	5858259	joy
far	50059082	far
neither	14001676	neither
nor	23501188	nor
hunger ,	448179	hunger ,
hunger	2292323	hunger
safe	10018666	safe
peaceful .	133661	peaceful .
dawn	2570111	dawn
morning	22128226	morning
lay	13552915	lay
frowning ,	53847	frowning ,
frowning	373996	frowning
smiling	3119136	smiling
pale	3929513	pale
leaning	1789890	leaning
against	79033828	against
wall ,	2312781	wall ,
stone	9878783	stone
dead .	3061680	dead .
dead	18094749	dead
' She	869058	' she
herself , '	21065	herself , '
some .	456360	some .
Children	8802055	children
asking	7941240	asking
parents	25278253	parents
helped	11341770	helped
dirt	2469424	dirt
helpless .	194697	helpless .
helpless	1526304	helpless
Passersby	7977	passersby
motionless	706216	motionless
intentions	2998233	intentions
late	29067082	late
dollar	4512285	dollar
short .	784249	short .
suspected	3567250	suspected
fallen	5034130	fallen
asleep	3203195	asleep
frozen ,	207859	frozen ,
imagined	3662569	imagined
things	56035173	things
seen ,	3401166	seen ,
seen	48510258	seen
glory	4098901	glory
heads	7111834	heads
master ,	990335	master ,
master	10649270	master
number	87423172	number
chosen	9821287	chosen
king .	1112327	king .
king	13253011	king
meeting	18991526	meeting
called	69300306	called
distant	5369442	distant
lands	5781753	lands
unable	8683177	unable
come ,	2267523	come ,
faraway	245945	faraway
meadows	559055	meadows
woods .	636733	woods .
woods	3342085	woods
eagle ,	137116	eagle ,
eagle	922318	eagle
de	75082133	de
facto	1019956	facto
king ,	1766253	king ,
arrived	12208049	arrived
fashionably	62603	fashionably
late .	1592933	late .
hawk	451703	hawk
meeting ,	1950055	meeting ,
horse	9634789	horse
small	68870614	small
fry	521851	fry
too ,	11614785	too ,
robin ,	25511	robin ,
robin	200137	robin
bluebird ,	5486	bluebird ,
bluebird	31738	bluebird
owl ,	87087	owl ,
owl	564219	owl
lark ,	35074	lark ,
lark	150710	lark
sparrow ,	38160	sparrow ,
sparrow	218310	sparrow
million	21837221	million
present	52582897	present
meeting .	1627321	meeting .
cuckoo ,	17789	cuckoo ,
cuckoo	135934	cuckoo
invited	5067831	invited
annoyed	919081	annoyed
birds ,	1132429	birds ,
too .	9096881	too .
bird	4823924	bird
name	51126537	name
all ,	16444334	all ,
overturning	170467	overturning
balance	14110170	balance
power	69017913	power
birds .	735952	birds .
confusion	5102421	confusion
expected ,	1521999	expected ,
expected	21880269	expected
sheer	2071421	sheer
numbers	18625635	numbers
gathered .	162255	gathered .
gathered	5394781	gathered
piping ,	56718	piping ,
piping	464744	piping
hissing ,	28653	hissing ,
hissing	260820	hissing
clacking ,	2471	clacking ,
clacking	38495	clacking
fly	5023580	fly
highest	10194893	highest
should	157257237	should
low	40087210	low
hopping	375893	hopping
onto	11889539	onto
competition	10329180	competition
commence .	48272	commence .
commence	651211	commence
flock	1024358	flock
signal	11412767	signal
given .	1511314	given .
dust ,	604886	dust ,
dust	4736167	dust
black	34294950	black
floating	2718369	floating
field .	4333698	field .
field	35280381	field
flapping	297204	flapping
fields	11642665	fields
miles	14192801	miles
away .	9942633	away .
fact	61142902	fact
larger	19120633	larger
