word	mean_RT	word_length	word_lower	frequency	neg_log_prob	pred1	pred2	word_type	lemma	lemma_freq	lemma_length	log_frequency	log_lemma_freq
man	306.9250749250749	3	man	97465290	0.0286330310458333	340.463964232381	338.6534038990378	content	man	97465290	3	18.395006882845095	18.395006882845095
mother	344.7168674698795	6	mother	39696579	0.101147965	334.06204736369995	333.382311674795	content	mother	39696579	6	17.496775595850913	17.496775595850913
nothing	301.7133333333333	7	nothing	38429085	1.3286451	331.9046660459843	332.1876400824366	content	nothing	38429085	7	17.464325178755722	17.464325178755722
old	388.8536121673003	3	old	66132164	0.00041482816	340.5047385115359	338.6402164741141	content	old	66132164	3	18.00716579766024	18.00716579766024
ones	334.39080459770116	4	ones	16074289	0.0034413727	338.4108488676152	336.87330383407743	content	one	414987663	3	16.592731659149848	19.84375935245196
or	359.60859116851907	2	or	793525686	2.3535087519233335	341.7172008522136	341.508232607973	function	or	793525686	2	20.49199646917742	20.49199646917742
owed	293.1506849315069	4	owed	1830581	1.22565415	338.42938442408007	337.44448972095546	content	owed	1830581	4	14.420144507042782	14.420144507042782
per	355.2105263157895	3	per	49354567	0.0016299207	340.526571456759	338.6407843324469	content	per	49354567	3	17.714540882883245	17.714540882883245
position	323.52702702702703	8	position	40450148	0.00250512	329.7430052784258	329.79955805665264	content	position	40450148	8	17.51558088502194	17.51558088502194
red	335.4064748201439	3	red	19233374	3.47909775	340.56576862884646	340.26593551975196	content	red	19233374	3	16.772157609185687	16.772157609185687
sell	319.96153846153845	4	sell	8220156	0.0013347968	338.42106957178186	336.87231935212304	content	sell	8220156	4	15.922099866606656	15.922099866606656
seven	373.3424657534247	5	seven	14902531	0.9119273134083332	336.25334296716915	335.52954634168617	content	seven	14902531	5	16.517041689364635	16.517041689364635
side	296.43243243243245	4	side	48798225	0.48256451	338.3682647059994	337.09721605229777	content	side	48798225	4	17.703204517703593	17.703204517703593
small	343.9358024691358	5	small	68870614	7.3617864	336.1831134700645	338.54380748429304	content	small	68870614	5	18.047740157348876	18.047740157348876
someone	319.8974358974359	7	someone	2123510	5.4121265	331.9519110495607	334.0960041482758	content	someone	2123510	7	14.568581408849195	14.568581408849195
three	381.0853658536585	5	three	94037962	2.6816769	336.1503628127269	336.35661672251007	content	three	94037962	5	18.35920912040622	18.35920912040622
up	324.6655172413793	2	up	232348461	0.000360656715	342.44746941295443	340.40851821561813	function	up	232348461	2	19.26374879414906	19.26374879414906
use	349.05535055350555	3	use	128514875	0.005597894	340.4235589294937	338.6426387152439	content	use	128514875	3	18.671555222136085	18.671555222136085
was	321.54826345893036	3	was	1140172617	6.010085	339.1070731380173	341.4487608214656	function	wa	1140172617	2	20.854445507188316	20.854445507188316
way	303.52008032128515	3	way	133443039	3.285337	340.4171458338244	340.175383851592	content	way	133443039	3	18.70918527808979	18.70918527808979
well	332.9321766561514	4	well	134592416	0.1313720740167333	338.25661940467506	336.93309065061845	content	well	134592416	4	18.717761636292206	18.717761636292206
what	321.6776371308017	4	what	87561320	2.674537625	338.31782169381995	338.1216073292977	function	what	87561320	4	18.287849917302758	18.287849917302758
where	325.87531486146094	5	where	136128991	5.221415	336.09558910880844	337.54353162475076	function	where	136128991	5	18.729113464774546	18.729113464774546
with	329.66502192982455	4	with	1110064802	4.595932	336.98722217393987	339.0195470092864	function	with	1110064802	4	20.827684231647627	20.827684231647627
year	308.61333333333334	4	year	73403129	0.6168431	338.3362459656964	337.1599694753861	content	year	73403129	4	18.111477135727327	18.111477135727327
