word_x	mean_RT	word_length	word_lower	word_y	frequency
advance	318.9642857142857	7	advance	advance	8091306
affected	325.98604651162793	8	affected	affected	11155698
affording	383.61842105263156	9	affording	affording	271571
after	371.5804195804196	5	after	after	131123106
again	345.9114285714286	5	again	again	64543110
against	312.44736842105266	7	against	against	79033828
ages	375.027397260274	4	ages	ages	5047770
ago	316.5111111111111	3	ago	ago	15950013
agree	308.048275862069	5	agree	agree	9151314
aimed	316.62857142857143	5	aimed	aimed	4404246
alien	354.35593220338984	5	alien	alien	2807606
aliens	313.848623853211	6	aliens	aliens	932099
alleged	408.11333333333334	7	alleged	alleged	3370226
allowed	306.19642857142856	7	allowed	allowed	17955384
alone	326.4712643678161	5	alone	alone	24587884
along	337.8152173913044	5	along	along	41977332
already	315.51394422310756	7	already	already	40871799
also	316.7300131061599	4	also	also	248861077
altitude	350.0857142857143	8	altitude	altitude	1469111
always	336.71055900621116	6	always	always	61220587
am	322.1113892365457	2	am	am	41836698
ambassador	420.36708860759495	10	ambassador	ambassador	1273218
ambushed	313.4235294117647	8	ambushed	ambushed	138658
among	332.0469208211144	5	among	among	56872364
angrily	324.65909090909093	7	angrily	angrily	807887
angry	308.5903614457831	5	angry	angry	5736154
announced	339.72972972972974	9	announced	announced	5630117
annoyed	377.0568181818182	7	annoyed	annoyed	919081
annual	346.43589743589746	6	annual	annual	10029078
another	338.2460567823344	7	another	another	83344110
answer	323.20238095238096	6	answer	answer	23098124
answered	445.12	8	answered	answered	9012555
anthropomorphic	528.1739130434783	15	anthropomorphic	anthropomorphic	182601
anticipation	322.7945205479452	12	anticipation	anticipation	1466794
anxiety	365.4513888888889	7	anxiety	anxiety	6847115
any	327.6919431279621	3	any	any	178544323
anyone	356.6871165644172	6	anyone	anyone	14355821
anything	327.51063829787233	8	anything	anything	29918715
anytime	326.97872340425533	7	anytime	anytime	511912
apart	340.60869565217394	5	apart	apart	8514887
apparently	387.5466666666667	10	apparently	apparently	8551823
appealing	387.1168831168831	9	appealing	appealing	1639845
appear	361.25454545454545	6	appear	appear	22235113
appeared	322.4175824175824	8	appeared	appeared	16686293
applaud	313.75342465753425	7	applaud	applaud	229603
applause	283.35616438356163	8	applause	applause	805276
approached	400.5777777777778	10	approached	approached	4497245
approximately	391.45205479452056	13	approximately	approximately	9303872
apron	525.0978260869565	5	apron	apron	585076
are	333.8376664552949	3	are	are	817391287
argued	303.32	6	argued	argued	10881822
arguing	325.80263157894734	7	arguing	arguing	2514179
arms	328.42021276595744	4	arms	arms	15980830
arrived	352.34065934065933	7	arrived	arrived	12208049
arrows	356.7738095238095	6	arrows	arrows	1877184
art	342.28915662650604	3	art	art	24358486
ask	356.29347826086956	3	ask	ask	22058779
asked	339.14859437751005	5	asked	asked	46175331
asking	356.5444444444444	6	asking	asking	7941240
asleep	308.4157303370786	6	asleep	asleep	3203195
asset	328.0657894736842	5	asset	asset	3996781
assigned	324.64772727272725	8	assigned	assigned	7404078
assured	357.32876712328766	7	assured	assured	3714327
atomic	363.4714285714286	6	atomic	atomic	2858556
atypical	394.27464788732397	8	atypical	atypical	639167
audience	298.63758389261744	8	audience	audience	10967125
author	363.28	6	author	author	17424357
autosomal	507.92753623188406	9	autosomal	autosomal	350334
average	375.38028169014086	7	average	average	20942483
avoid	355.4673913043478	5	avoid	avoid	14527295
awaited	324.3333333333333	7	awaited	awaited	856594
away	309.32608695652175	4	away	away	56906743
backs	383.03846153846155	5	backs	backs	1537622
bad	355.873417721519	3	bad	bad	19213952
bade	342.89772727272725	4	bade	bade	451170
badly	317.5833333333333	5	badly	badly	3287455
bag	328.10227272727275	3	bag	bag	5370600
balance	348.4431818181818	7	balance	balance	14110170
bald	340.0851063829787	4	bald	bald	737288
ballistic	370.92857142857144	9	ballistic	ballistic	355028
balloon	362.9144144144144	7	balloon	balloon	1308189
balloons	329.3623188405797	8	balloons	balloons	406299
barber	323.50959488272923	6	barber	barber	394790
bare	416.6923076923077	4	bare	bare	3552320
basic	324.32394366197184	5	basic	basic	22140233
basis	304.6857142857143	5	basis	basis	27563419
be	326.5051490514905	2	be	be	964072174
beamed	379.34939759036143	6	beamed	beamed	404320
beaming	332.2814371257485	7	beaming	beaming	304264
beat	321.86033519553075	4	beat	beat	5158229
beautiful	333.94533029612757	9	beautiful	beautiful	12851183
beavers	359.7906976744186	7	beavers	beavers	102268
became	342.2828685258964	6	became	became	41999262
because	334.7316896301668	7	because	because	136741894
beckoning	361.52	9	beckoning	beckoning	169582
become	328.4078947368421	6	become	become	55719054
bed	321.577868852459	3	bed	bed	17264116
bedroom	312.4060606060606	7	bedroom	bedroom	3784939
been	322.49359658484525	4	been	been	310806848
began	308.81458333333336	5	began	began	38623128
beginning	341.29411764705884	9	beginning	beginning	23257497
behave	347.6666666666667	6	behave	behave	2427720
behind	318.2722891566265	6	behind	behind	28598426
being	322.322	5	being	being	117515747
believe	324.24	7	believe	believe	30594846
believed	317.10878661087867	8	believed	believed	14506062
belonged	350.4121621621622	8	belonged	belonged	3143797
belonging	307.28767123287673	9	belonging	belonging	3705244
below	330.4157303370786	5	below	below	25562587
beside	321.0246913580247	6	beside	beside	6485168
better	327.24810606060606	6	better	better	48996201
between	328.9148936170213	7	between	between	169905876
bewitching	368.494623655914	10	bewitching	bewitching	80041
bide	370.8313253012048	4	bide	bide	79091
big	321.613810741688	3	big	big	22941525
bigger	305.84705882352944	6	bigger	bigger	3025646
birches	335.4945054945055	7	birches	birches	59919
bird	333.5327399872854	4	bird	bird	4823924
birds	326.71604938271605	5	birds	birds	6361699
bit	308.9329268292683	3	bit	bit	15770554
bitter	307.95348837209303	6	bitter	bitter	3179269
black	373.4651162790698	5	black	black	34294950
blatantly	391.25274725274727	9	blatantly	blatantly	218878
bleeped	337.61842105263156	7	bleeped	bleeped	5476
blew	308.79347826086956	4	blew	blew	1613540
blinking	358.0416666666667	8	blinking	blinking	429000
blood	317.07042253521126	5	blood	blood	28036740
bloom	386.7763157894737	5	bloom	bloom	904812
blow	328.3626373626374	4	blow	blow	3983689
blue	350.9245810055866	4	blue	blue	13285921
boar	318.41284403669727	4	boar	boar	309920
board	324.1914893617021	5	board	board	13482309
bobbing	347.23030303030305	7	bobbing	bobbing	221230
bodies	350.67123287671234	6	bodies	bodies	11262304
bold	341.5988372093023	4	bold	bold	2562505
bones	365.86170212765956	5	bones	bones	4376162
book	343.57522123893807	4	book	book	49033521
books	315.0	5	books	books	20471356
bore	351.56470588235294	4	bore	bore	2751591
botanical	401.94871794871796	9	botanical	botanical	395559
botanist	451.3246753246753	8	botanist	botanist	172175
botanists	355.2763157894737	9	botanists	botanists	102383
both	307.94827586206895	4	both	both	116011743
bottoms	371.9759036144578	7	bottoms	bottoms	409011
bought	298.2987012987013	6	bought	bought	6604892
boy	383.6195652173913	3	boy	boy	15012057
boys	325.31413612565444	4	boys	boys	11013213
brass	356.98523985239854	5	brass	brass	1608799
breaking	396.7654320987654	8	breaking	breaking	4739864
breathe	370.35955056179773	7	breathe	breathe	1829018
breathing	313.65060240963857	9	breathing	breathing	4103276
brick	344.8279569892473	5	brick	brick	2410149
bridge	343.6703296703297	6	bridge	bridge	6236020
bright	321.54395604395603	6	bright	bright	6970967
brighter	329.13186813186815	8	brighter	brighter	705224
brightness	318.21666666666664	10	brightness	brightness	1007383
bring	288.52941176470586	5	bring	bring	21687869
bringing	374.5	8	bringing	bringing	6402128
brook	314.4909090909091	5	brook	brook	439768
brother	334.53956834532374	7	brother	brother	14364432
brothers	302.07749077490774	8	brothers	brothers	5599302
brought	308.325	7	brought	brought	29618021
brunt	358.1162790697674	5	brunt	brunt	235149
brushed	301.4462365591398	7	brushed	brushed	1150796
bubble	333.02597402597405	6	bubble	bubble	1273305
buds	372.8562091503268	4	buds	buds	653126
bugging	352.2105263157895	7	bugging	bugging	78853
buildup	319.4714285714286	7	buildup	buildup	475319
bulb	366.2899022801303	4	bulb	bulb	920990
bundle	333.264367816092	6	bundle	bundle	1489577
burner	324.8780487804878	6	burner	burner	401502
burning	354.05494505494505	7	burning	burning	4921928
burns	334.14285714285717	5	burns	burns	1099971
burst	316.57142857142856	5	burst	burst	3346798
busy	353.1583011583012	4	busy	busy	5424151
butter	300.8536585365854	6	butter	butter	2864124
buy	324.05314009661834	3	buy	buy	10703771
buyers	319.8831168831169	6	buyers	buyers	1815579
buzz	335.0851063829787	4	buzz	buzz	435991
call	320.8494318181818	4	call	call	32401764
called	337.66568914956014	6	called	called	69300306
calm	307.3611111111111	4	calm	calm	4147380
came	343.408560311284	4	came	came	61302439
candy	317.1720430107527	5	candy	candy	1070570
capable	271.3918918918919	7	capable	capable	8807187
car	303.6666666666667	3	car	car	19890198
carcass	335.98837209302326	7	carcass	carcass	335947
cards	313.8068181818182	5	cards	cards	5502348
careful	310.6707317073171	7	careful	careful	7678101
carefully	362.8181818181818	9	carefully	carefully	10230063
carriages	402.9247311827957	9	carriages	carriages	477421
carried	339.94505494505495	7	carried	carried	18379709
carry	312.90944881889766	5	carry	carry	12615369
carrying	363.0989010989011	8	carrying	carrying	7736371
case	333.1386554621849	4	case	case	83294081
cases	320.7916666666667	5	cases	cases	38551029
cast	341.6575342465753	4	cast	cast	7604932
catch	316.2168674698795	5	catch	catch	6166843
caused	311.1808510638298	6	caused	caused	16335731
causing	303.63013698630135	7	causing	causing	5359951
celebrate	342.9529411764706	9	celebrate	celebrate	1801842
celebrating	345.4507042253521	11	celebrating	celebrating	796033
century	410.37974683544303	7	century	century	42601730
certainly	355.17283950617286	9	certainly	certainly	15468602
chair	314.32978723404256	5	chair	chair	8889250
chairs	324.73118279569894	6	chairs	chairs	2514661
challenging	398.5	11	challenging	challenging	3000097
chance	323.2055555555556	6	chance	chance	13447740
changed	378.010989010989	7	changed	changed	16742569
changes	301.57894736842104	7	changes	changes	37311795
characterized	380.7448275862069	13	characterized	characterized	7084259
check	295.41975308641975	5	check	check	12411063
cheering	280.6849315068493	8	cheering	cheering	470747
cheers	284.5068493150685	6	cheers	cheers	379404
chest	305.0365853658537	5	chest	chest	6875624
chicanery	440.1764705882353	9	chicanery	chicanery	52872
child	339.7111111111111	5	child	child	46276643
childhood	370.06756756756755	9	childhood	childhood	6646302
chirping	324.16201117318434	8	chirping	chirping	104585
chocolate	499.7362637362637	9	chocolate	chocolate	1891939
choice	271.9866666666667	6	choice	choice	19468150
chosen	406.5632183908046	6	chosen	chosen	9821287
chronic	382.0408163265306	7	chronic	chronic	6072599
church	412.96590909090907	6	church	church	22128712
claimed	324.43518518518516	7	claimed	claimed	8138532
claims	329.1920529801325	6	claims	claims	12835191
class	334.4642857142857	5	class	class	42067820
classic	308.4736842105263	7	classic	classic	4407368
classified	334.0888888888889	10	classified	classified	3872694
clatter	315.20652173913044	7	clatter	clatter	229741
clattered	414.81176470588235	9	clattered	clattered	121477
clattering	356.35164835164835	10	clattering	clattering	121321
clean	328.5443786982249	5	clean	clean	8058996
cleaning	332.86746987951807	8	cleaning	cleaning	2786708
clear	341.7534626038781	5	clear	clear	35415613
cleared	326.9024390243902	7	cleared	cleared	2753286
clears	321.1566265060241	6	clears	clears	295123
clever	335.76190476190476	6	clever	clever	1870677
cliff	345.8021978021978	5	cliff	cliff	1153934
climbed	318.8188679245283	7	climbed	climbed	2532328
clinging	342.89820359281435	8	clinging	clinging	730204
clinicians	458.8169014084507	10	clinicians	clinicians	916464
clone	380.6753246753247	5	clone	clone	517684
close	325.6823529411765	5	close	close	31505401
closed	302.87654320987656	6	closed	closed	13604408
closer	307.4945054945055	6	closer	closer	8390061
cloud	350.95454545454544	5	cloud	cloud	3174456
coat	342.7567567567568	4	coat	coat	4235100
cold	338.0670826833073	4	cold	cold	14949741
collars	394.3521126760563	7	collars	collars	269113
collection	307.1898734177215	10	collection	collection	13163156
combination	329.35714285714283	11	combination	combination	10668310
combined	340.5629139072848	8	combined	combined	9485910
come	318.9005988023952	4	come	come	69378970
comfort	369.1066666666667	7	comfort	comfort	4887104
coming	327.5280898876405	6	coming	coming	20383546
commerce	354.88461538461536	8	commerce	commerce	3795043
common	336.0979020979021	6	common	common	45510679
commonly	364.01428571428573	8	commonly	commonly	8554298
comparable	356.90410958904107	10	comparable	comparable	3778147
competition	377.17241379310343	11	competition	competition	10329180
complete	305.8085106382979	8	complete	complete	23000029
completely	364.3614457831325	10	completely	completely	14829586
compression	391.9577464788732	11	compression	compression	2811014
computerized	450.34722222222223	12	computerized	computerized	742102
concert	320.67123287671234	7	concert	concert	2131949
concluded	357.5241379310345	9	concluded	concluded	7036244
conclusions	345.73333333333335	11	conclusions	conclusions	4765162
condition	365.24545454545455	9	condition	condition	20353662
conditions	324.9086757990868	10	conditions	conditions	35531542
conduct	341.0	7	conduct	conduct	10879535
conducted	338.7857142857143	9	conducted	conducted	8944308
conference	341.85135135135135	10	conference	conference	6698327
confident	295.2027027027027	9	confident	Confident	82439
confirmed	344.5430463576159	9	confirmed	confirmed	5244834
confused	365.32142857142856	8	confused	confused	3857034
confusion	351.8304347826087	9	confusion	confusion	5102421
conjectured	381.20652173913044	11	conjectured	conjectured	154349
connection	343.56	10	connection	connection	13490410
considered	393.65359477124184	10	considered	considered	32202519
considering	319.24657534246575	11	considering	considering	5983700
conspiracy	330.62666666666667	10	conspiracy	conspiracy	1611982
constituted	365.0	11	constituted	constituted	3442050
consulted	387.57142857142856	9	consulted	consulted	1505383
contained	338.30120481927713	9	contained	contained	9402181
contamination	370.2191780821918	13	contamination	contamination	1718540
contest	328.54117647058825	7	contest	contest	2238178
continue	325.51973684210526	8	continue	continue	17083687
continuing	346.22972972972974	10	continuing	continuing	5882111
contract	386.42138364779873	8	contract	contract	13888850
contracted	372.4078947368421	10	contracted	contracted	1353401
contracts	364.7435897435897	9	contracts	contracts	5247575
controversial	342.43243243243245	13	controversial	controversial	2695317
controversy	357.88	11	controversy	controversy	3293733
convinced	352.9759036144578	9	convinced	convinced	5274085
coordinated	394.7323943661972	11	coordinated	coordinated	1476982
coot	476.19565217391306	4	coot	coot	32122
corn	311.6521739130435	4	corn	corn	3418741
corner	311.8791208791209	6	corner	corner	8812182
corners	313.1162790697674	7	corners	corners	2145300
correct	357.3285714285714	7	correct	correct	13073361
count	354.719512195122	5	count	count	6722362
countryside	414.54761904761904	11	countryside	countryside	2140605
couple	310.7848101265823	6	couple	couple	11386681
course	370.2	6	course	course	51745541
court	326.2207792207792	5	court	court	28250928
cover	335.15	5	cover	cover	13765275
covering	316.8333333333333	8	covering	covering	4357427
coveted	346.2692307692308	7	coveted	coveted	349403
crack	321.0120481927711	5	crack	crack	2946791
craft	354.8933333333333	5	craft	craft	2700090
crashed	349.1801801801802	7	crashed	crashed	751482
created	339.3170731707317	7	created	created	22166125
creative	316.2530120481928	8	creative	creative	6663180
creature	340.206106870229	8	creature	creature	3163415
credibility	378.83561643835617	11	credibility	credibility	1901995
creeping	362.59090909090907	8	creeping	creeping	620140
crept	351.9230769230769	5	crept	crept	917285
cried	349.8066666666667	5	cried	cried	5416949
critics	375.6111111111111	7	critics	critics	4777049
crowd	305.2837837837838	5	crowd	crowd	6087995
crowds	378.4805194805195	6	crowds	Crowds	101873
crying	387.09090909090907	6	crying	crying	3000627
cultivating	388.9605263157895	11	cultivating	cultivating	512197
cultivation	418.8625	11	cultivation	cultivation	2342402
culture	326.58666666666664	7	culture	culture	29727119
cunning	324.9651162790698	7	cunning	cunning	777409
curls	354.9782608695652	5	curls	curls	592426
current	469.4714285714286	7	current	current	30595808
curtains	319.4931506849315	8	curtains	curtains	1090999
curve	323.0243902439024	5	curve	curve	7553731
cut	316.27624309392263	3	cut	cut	19831304
cute	372.28395061728395	4	cute	cute	676322
cutting	281.5882352941176	7	cutting	cutting	5223062
damn	369.0860215053763	4	damn	damn	2010010
danced	366.5735294117647	6	danced	danced	1212113
dank	371.4725274725275	4	dank	dank	131695
dared	365.3988764044944	5	dared	dared	1389752
dark	365.0113122171946	4	dark	dark	17668371
darkened	340.53846153846155	8	darkened	darkened	826953
darkness	335.1333333333333	8	darkness	darkness	5404942
dashing	345.67391304347825	7	dashing	dashing	349027
data	298.39473684210526	4	data	data	67806624
dawn	286.967032967033	4	dawn	dawn	2570111
day	330.60435779816515	3	day	day	88338993
daylights	331.4431818181818	9	daylights	daylights	26738
days	322.1566265060241	4	days	days	45157467
de	452.94444444444446	2	de	de	75082133
deadly	312.6	6	deadly	deadly	1695296
debris	344.03678160919543	6	debris	debris	1484718
debts	316.06666666666666	5	debts	debts	2062996
deceptively	369.6219512195122	11	deceptively	deceptively	175132
decide	320.04545454545456	6	decide	decide	8384940
decided	329.09375	7	decided	decided	17207383
declaring	310.64473684210526	9	declaring	declaring	1265755
decree	394.5263157894737	6	decree	decree	1666986
deepest	371.04545454545456	7	deepest	deepest	1323712
deflated	346.4266666666667	8	deflated	deflated	176769
demand	337.6470588235294	6	demand	demand	16692877
demons	361.53846153846155	6	demons	demons	1100088
demonstrably	400.2916666666667	12	demonstrably	demonstrably	169759
denied	338.4698795180723	6	denied	denied	5318967
depression	341.943661971831	10	depression	depression	6794796
descended	356.0246913580247	9	descended	descended	1647453
described	387.6986301369863	9	described	described	29601923
despised	389.7586206896552	8	despised	despised	764300
despondently	388.56043956043953	12	despondently	despondently	23973
detect	317.4	6	detect	detect	3120683
development	309.7536231884058	11	development	development	59678974
developmental	393.31081081081084	13	developmental	developmental	4024232
